MATNR	KTXT	LGPBE	LGORT
212161-01	FixationTape_20x0.055mm	R4-A1	0024
205557-02	PE-Bag RRC2020	R4-A2	0022
212286-01	Label_white_10x50mm_PET	R4-A3	0024
211022-02	PE-Bag RRC2054-2	R4-A4	0022
212325-01	FixationTape_12x0.055mm	R4-B1	0024
210799-01	Insulation_Tape_for_7_cells	R4-B2	0024
211298-01	General Battery InsulationTape 18.5x13mm	R4-B3	0024
211213-01	Insulation_Tape_14x10mm	R4-B4	0024
210881-02	Pull-Tape RRC2040	R4-C1	0024
210801-01	Insulation_Tape_23*15_SJ74-00476A	R4-C2	0024
210879-02	Pull-Tape RRC2020	R4-C3	0024
212300-02	Device Label RRC2054-2S VN	R4-C4	0022
205560-02	PE-Bag RRC2040	R4-D1	0022
211981-01	"Insulation Tape 18,5x10"	R4-D2	0024
210796-03	WIRE HARNESS SJ39-00133A	R4-D3	0022
210926-02	Insulation tape for RRC2040	R4-E1	0024
212303-01	Device Label RRC2020-GE VN	R4-E2	0022
210795-03	WIRE HARNESS SJ39-00132A	R4-E3	0022
211724-01	Pull_Tape_RRC2054-2	R4-E4	0024
211966-05	Device Label RRC2040B	R4-F1	0022
212272-02	Device Label RRC2020-DR VN	R4-F2	0022
210794-03	WIRE HARNESS SJ39-00131A	R4-F3	0022
211238-01	Battery Insulation Tape 18.5x13.0x0.9mm	R4-F4	0024
210833-03	PLATE-TAB_B-_SJ61_02408A Ni99.6 0.15mm	R4-G1	0022
211342-02	Info sheet RRC2020-DR	R4-G2	0022
210793-03	PLATE-TAB B+_1 SJ61-02429A Ni99.6	R4-G3	0022
206143-02	Connector_Cell_to_PCB_left_RRC2057	R4-G4	0022
210832-03	PLATE-TAB_B1_SJ61_02409A Ni99.6 0.15mm	R4-H1	0022
206364-01	Battery Insulation Tape 64x20x0.18mm	R4-H2	0024
210792-04	PLATE-TAB_B- SJ61-02417A Ni99.6	R4-H3	0022
206144-02	Connector_Cell_to_PCB_right_RRC2057	R4-H4	0022
210831-04	PLATE-TAB_B2_SJ61_02411A Ni99.6 0.15mm	R4-I1	0022
206278-02	Label white 10x40mm PET	R4-I2	0024
210791-05	PLATE-TAB_B1 SJ61-02416A Ni99.6	R4-I3	0022
210998-02	Cell-Connector B1	R4-I4	0022
210830-04	PLATE-TAB_B+_SJ61_02410A Ni99.6 0.15mm	R4-J1	0022
211553-01	Label white 105x74mm opaque	R4-J2	0024
210790-03	PLATE-TAB_B2_1 SJ61-02415A Ni99.6	R4-J3	0022
210999-01	Cell-Connector B2	R4-J4	0022
210829-02	WIRE-LEAD SJ66-00609A	R4-K1	0022
211582-02	Label white 60x60mm PET 3M 7871	R4-K2	0022
210789-03	PLATE-TAB_B2_2 SJ61-02414A Ni99.6	R4-K3	0022
211000-02	Cell-Connector B3	R4-K4	0022
210828-02	WIRE-LEAD SJ66-00246A	R4-L1	0022
211964-05	Device Label RRC2020B	R4-L2	0022
210788-04	PLATE-TAB_B+_2 SJ61-02413A Ni99.6	R4-L3	0022
211008-02	Cable B2	R4-L4	0022
212101-02	Spinel Cell Connector left	R5-A1	0022
211709-04	Device Label RRC2020-HI	R5-A2	0022
206128-03	PE-Bag RRC2040-2	R5-A3	0022
206280-01	PE-Bag Jaspis	R5-A4	0022
212102-02	Spinel Cell Connector right	R5-B1	0022
212630-01	Device Label RRC2054-OL	R5-B2	0022
210842-02	WIRE SJ66-00527A;AWG20;BLACK;L=67.5	R5-B3	0022
206139-02	Connector_2er_Cell_PCB_front_RRC2054	R5-B4	0022
212103-02	Spinel Cell Connector bottom	R5-C1	0022
BLANK		R5-C2	
210843-02	"WIRE SJ66-00526A - AWG24, RED,  L67.0"	R5-C3	0022
206140-02	Connector_Cell_to_PCB_right_RRC2054	R5-C4	0022
212104-01	Spinel Thermo Pad 7x5x1	R5-D1	0024
212564-04	Device Label QSB2054-2	R5-D2	0022
210844-01	NI-TAB SJ75-00452A	R5-D3	0022
206141-02	Connector_Cell_to_PCB_left_RRC2054	R5-D4	0022
212324-02	Double-sided tape	R5-E1	0024
212428-01	Device Label RRC2054-2 Hamilton	R5-E2	0022
210845-01	NI-TAB SJ75-00440A	R5-E3	0022
206142-03	Connnecor_2er_Cell_PCB_rear_RRC2054	R5-E4	0022
212296	"Side-gusseted bag 415+315x650x0,034mm"	R5-F1	0022
206277-03	Battery Insulation Tape 4 Cells	R5-F2	0024
210846-01	NI-TAB SJ75-00453A	R5-F3	0022
211455-05	Device Label RRC2054S_35E	R5-F4	0022
212053-01	Donut_Tape_Soldering_Protect	R5-G1	0024
212768	Screw 8X3_96034003008-02-V02(B llhoff)	R5-G2	0025
