QUALITY_EQUIPMENT_NO	INVENTORY_NUMBER
RRC_Q_0001	8400001
RRC_Q_0002	8400002
RRC_Q_0003	8400023
RRC_Q_0004	8400024
RRC_Q_0005	8400025
RRC_Q_0006	8400026
RRC_Q_0007	8400027
RRC_Q_0008	8400028
RRC_Q_0009	8400029
RRC_Q_0010	8400030
RRC_Q_0011	8400031
RRC_Q_0012	8400032
RRC_Q_0013	8400033
RRC_Q_0014	8400034
RRC_Q_0015	8400035
RRC_Q_0016	8400036
RRC_Q_0017	8400038
RRC_Q_0018	8400039
RRC_Q_0019	8400040
RRC_Q_0020	8400041
RRC_Q_0021	8400042
RRC_Q_0022	8400043
RRC_Q_0023	8400045
RRC_Q_0024	8400046
RRC_Q_0025	8400047
RRC_Q_0026	8400048
RRC_Q_0027	8400049
RRC_Q_0028	8400051
RRC_Q_0029	8400081
RRC_Q_0030	8400099
RRC_Q_0031	8400101
RRC_Q_0032	8400102
RRC_Q_0033	8400120
RRC_Q_0034	8400121
RRC_Q_0036	8400125
RRC_Q_0037	8400232
RRC_Q_0038	8400233
RRC_Q_0039	8400234
RRC_Q_0040	8400243
RRC_Q_0041	8400265
RRC_Q_0042	8400274
RRC_Q_0043	8400275
RRC_Q_0044	8400279
RRC_Q_0045	8400280
RRC_Q_0046	8400278
RRC_Q_0047	8400055
RRC_Q_0048	8400122
RRC_Q_0049	
RRC_Q_0050	
RRC_Q_0051	
RRC_Q_0052	
RRC_Q_0053	
RRC_Q_0054	
RRC_Q_0055	8400634
RRC_Q_0056	
RRC_Q_0057	
RRC_Q_0058	8400631
RRC_Q_0059	
RRC_Q_0060	
RRC_Q_0061	
RRC_Q_0062	
RRC_Q_0063	
RRC_Q_0064	
RRC_Q_0065	
RRC_Q_0066	
RRC_Q_0067	8400552
RRC_Q_0068	8400553
RRC_Q_0069	8400490
RRC_Q_0070	8400491
RRC_Q_0071	8400494
RRC_Q_0072	8400493
RRC_Q_0073	8400492
RRC_Q_0074	8400496/7
RRC_Q_0075	8400495
RRC_Q_0077	
RRC_Q_0078	6211719
RRC_Q_0079	
RRC_Q_0080	
RRC_Q_0081	
RRC_Q_0082	
RRC_Q_0083	
RRC_Q_0084	8400584
RRC_Q_0085	8400593
RRC_Q_0086	8400590
RRC_Q_0087	8400591
RRC_Q_0088	8400578
RRC_Q_0089	8400579
RRC_Q_0090	8400580
RRC_Q_0091	8400581
RRC_Q_0092	8400582
RRC_Q_0093	8400583
RRC_Q_0094	8400588
RRC_Q_0095	8400589
RRC_Q_0096	
RRC_Q_0097	
RRC_Q_0098	
RRC_Q_0099	
RRC_Q_0100	
RRC_Q_0101	
RRC_Q_0102	
RRC_Q_0103	
RRC_Q_0104	
RRC_Q_0105	
RRC_Q_0106	
RRC_Q_0107	
RRC_Q_0108	
RRC_Q_0109	
RRC_Q_0110	
RRC_Q_0111	
RRC_Q_0112	
RRC_Q_0113	
RRC_Q_0114	
RRC_Q_0115	
RRC_Q_0116	
RRC_Q_0117	8400586
RRC_Q_0118	8400554
RRC_Q_0119	8400550
RRC_Q_0120	8400550
RRC_Q_0121	8400788
RRC_Q_0122	
RRC_Q_0123	
RRC_Q_0124	
RRC_Q_0125	
RRC_Q_0126	
RRC_Q_0127	
RRC_Q_0128	
RRC_Q_0129	8401081
RRC_Q_0130	
RRC_Q_0131	
RRC_Q_0132	
RRC_Q_0133	
RRC_Q_0134	
RRC_Q_0135	
RRC_Q_0136	
RRC_Q_0137	
RRC_Q_0138	
RRC_Q_0139	
RRC_Q_0140	8400632
RRC_Q_0141	8400633
RRC_Q_0142	8400098
RRC_Q_0143	8400100
RRC_Q_0144	
RRC_Q_0145	
RRC_Q_0146	
RRC_Q_0322	
RRC_Q_0323	
RRC_Q_0324	
RRC_Q_0325	
RRC_Q_0326	
RRC_Q_0327	
RRC_Q_0328	
RRC_Q_0366	
RRC_Q_0368	
RRC_Q_0369	6212039/6212040
RRC_Q_0370	
RRC_Q_0371	
RRC_Q_0372	
RRC_Q_0373	8401062
RRC_Q_0374	
RRC_Q_0375	8401082
RRC_Q_0376	
