MATNR	KTXT	SSNA	LGORT
110022-01	INR18650-30Q Samsung Li-Ion Battery Cell	WH2-MAT-PLT-R1	0022
110023-01	INR18650-35E Samsung Li-Ion Battery Cell	WH2-MAT-PLT-R1	0022
205557-02	PE-Bag RRC2020	WH2-MAT-FLOW-R4	0026
205560-03	PE-Bag RRC2040	WH2-MAT-FLOW-R4	0026
206128-03	PE-Bag RRC2040-2	WH2-MAT-FLOW-R4	0026
206139-02	Connector_2er_Cell_PCB_front_RRC2054	WH2-MAT-FLOW-R5	0027
206140-02	Connector_Cell_to_PCB_right_RRC2054	WH2-MAT-FLOW-R5	0027
206141-02	Connector_Cell_to_PCB_left_RRC2054	WH2-MAT-FLOW-R5	0027
206142-03	Connnecor_2er_Cell_PCB_rear_RRC2054	WH2-MAT-FLOW-R5	0027
206143-02	Connector_Cell_to_PCB_left_RRC2057	WH2-MAT-FLOW-R5	0027
206144-02	Connector_Cell_to_PCB_right_RRC2057	WH2-MAT-FLOW-R5	0027
206146-10	Upper-Housing_RRC2054/RRC2057, MN3709	WH1-MAT-PLT-R2	0021
206147-07	Lower-Housing_RRC2054/RRC2057, MN3709	WH1-MAT-PLT-R2	0021
206277-03	Battery Insulation Tape 4 Cells	WH2-MAT-FLOW-R5	0027
206278-02	Label white 10x40mm PET	WH2-MAT-FLOW-R4	0026
206280-01	PE-Bag Jaspis	WH2-MAT-FLOW-R4	0026
206328-06	Outer_Box_385x245x151	WH1-MAT-PLT-R2	0021
206329-01	Outer Box Guide Jaspis	WH1-MAT-PLT-R2	0021
206330-02	Outer Box Cap Jaspis	WH1-MAT-PLT-R2	0021
206364-01	Battery Insulation Tape 64x20x0.18mm	WH2-MAT-FLOW-R4	0026
210306-01	Battery Insulation Tape 20x20x0.18mm	WH2-MAT-FLOW-R5	0027
210512-02	SC_female_5-Pin_p=5mm_10A_N15097 (CEN)	WH2-MAT-PLT-R1	0022
210767-07	RRC2020 Upper-Housing	WH1-MAT-PLT-R2	0021
210768-07	RRC2020 Lower-Housing	WH1-MAT-PLT-R2	0021
210769-04	RRC2040 Upper-Housing	WH1-MAT-PLT-R2	0021
210770-04	RRC2040 Lower-Housing	WH1-MAT-PLT-R2	0021
210771-07	RRC2040-2 UpperHousing, MN3709/Teijin	WH1-MAT-PLT-R2	0021
210772-06	RRC2040-2 LowerHousing, MN3709/Teijin	WH1-MAT-PLT-R2	0021
210788-04	PLATE-TAB_B+_2 SJ61-02413A Ni99.6	WH2-MAT-FLOW-R4	0026
210789-03	PLATE-TAB_B2_2 SJ61-02414A Ni99.6	WH2-MAT-FLOW-R4	0026
210790-03	PLATE-TAB_B2_1 SJ61-02415A Ni99.6	WH2-MAT-FLOW-R4	0026
210791-05	PLATE-TAB_B1 SJ61-02416A Ni99.6	WH2-MAT-FLOW-R4	0026
210792-04	PLATE-TAB_B- SJ61-02417A Ni99.6	WH2-MAT-FLOW-R4	0026
210793-03	PLATE-TAB B+_1 SJ61-02429A Ni99.6	WH2-MAT-FLOW-R4	0026
210794-03	WIRE HARNESS SJ39-00131A	WH2-MAT-FLOW-R4	0026
210795-03	WIRE HARNESS SJ39-00132A	WH2-MAT-FLOW-R4	0026
210796-03	WIRE HARNESS SJ39-00133A	WH2-MAT-FLOW-R4	0026
210799-01	Insulation_Tape_for_7_cells	WH2-MAT-FLOW-R4	0026
210801-01	Insulation_Tape_23*15_SJ74-00476A	WH2-MAT-FLOW-R4	0026
210828-02	WIRE-LEAD SJ66-00246A	WH2-MAT-FLOW-R4	0026
210829-02	WIRE-LEAD SJ66-00609A	WH2-MAT-FLOW-R4	0026
210830-04	PLATE-TAB_B+_SJ61_02410A Ni99.6 0.15mm	WH2-MAT-FLOW-R4	0026
210831-04	PLATE-TAB_B2_SJ61_02411A Ni99.6 0.15mm	WH2-MAT-FLOW-R4	0026
210832-03	PLATE-TAB_B1_SJ61_02409A Ni99.6 0.15mm	WH2-MAT-FLOW-R4	0026
210833-03	PLATE-TAB_B-_SJ61_02408A Ni99.6 0.15mm	WH2-MAT-FLOW-R4	0026
210838	Glue_FB300ZW (Konishi)	WH2-MAT-FEFO-R6	0028
210842-02	WIRE SJ66-00527A;AWG20;BLACK;L=67.5	WH2-MAT-FLOW-R5	0027
210843-02	WIRE SJ66-00526A - AWG24, RED,  L67.0	WH2-MAT-FLOW-R5	0027
210844-01	NI-TAB SJ75-00452A	WH2-MAT-FLOW-R5	0027
210845-01	NI-TAB SJ75-00440A	WH2-MAT-FLOW-R5	0027
210846-01	NI-TAB SJ75-00453A	WH2-MAT-FLOW-R5	0027
210847-01	NI-TAB SJ75-00454A	WH2-MAT-FLOW-R5	0027
210848-01	NI-TAB SJ75-00439A	WH2-MAT-FLOW-R5	0027
210849-01	WIRE SJ66-00552A;AWG #20 UL3385, L122.45	WH2-MAT-FLOW-R5	0027
210879-02	Pull-Tape RRC2020	WH2-MAT-FLOW-R4	0026
210881-02	Pull-Tape RRC2040	WH2-MAT-FLOW-R4	0026
210882-03	Pull-Tape RRC2040-2	WH2-MAT-FLOW-R5	0027
210926-02	Insulation tape for RRC2040	WH2-MAT-FLOW-R4	0026
210927-01	Insulation tape for RRC2040-2	WH2-MAT-FLOW-R5	0027
210987-05	Outer Box 395x286x180	WH1-MAT-PLT-R2	0021
210988-01	Single-Box 156x64x28mm E-Flute	WH1-MAT-PLT-R2	0021
210989-01	Separation-Pad A RRC2040-2	WH1-MAT-PLT-R2	0021
210990-01	Separation-Pad B RRC2040-2	WH1-MAT-PLT-R2	0021
210991-02	Outer Box Pad 380x271mm AB-Flute	WH1-MAT-PLT-R2	0021
210998-02	Cell-Connector B1	WH2-MAT-FLOW-R4	0026
210999-01	Cell-Connector B2	WH2-MAT-FLOW-R4	0026
211000-02	Cell-Connector B3	WH2-MAT-FLOW-R4	0026
211003-04	Outer Box 372*254*154mm AB-Flute	WH1-MAT-PLT-R2	0021
211005-01	Outer_Box Pad 357x239mm_AB-Flute	WH1-MAT-PLT-R2	0021
211008-02	Cable B2	WH2-MAT-FLOW-R4	0026
211009-02	Single-Box 90x64x28	WH1-MAT-PLT-R2	0021
211010-02	Separation_Pad_A_RRC2040	WH1-MAT-PLT-R2	0021
211011-02	Separation_Pad_B_RRC2040	WH1-MAT-PLT-R2	0021
211012-02	Separation_Pad_A_RRC2020	WH1-MAT-PLT-R2	0021
211013-02	Separation_Pad_B_RRC2020	WH1-MAT-PLT-R2	0021
